nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
Tortuga Verde;5934 - actual;Los Gigantes;36,5;39;30;35;6,1;s
Tortuga Verde;4918 - actual;Playas de Fañabé;59;43;45;60;0;s
Tortuga Verde;3663 - actual;el Medano;40;43;32;37;8,8;s
Tortuga Verde;3385 - actual;Las Galletas;47,3;51;40;45,5;0;s
Tortuga Verde;2888 - actual;Las Teresitas;53;56;46,5;53;20,6;s
Tortuga Verde;2654 - actual;El Médano;39;45;31;39;10,8;s
Tortuga Verde;2636 - actual;Puertito;40,2;42;32,3;36;9,1;s
Tortuga Verde;5075 - actual;Puertito de Armeñime;65;73;56;71;54,2;s
Tortuga Verde;4928 - actual;Puertito de Armeñime;54,5;58;45;51;22;s
Tortuga Verde;2352 - actual;san Andrés;33,5;37;32;36;6,2;s
Tortuga Verde;5894 - actual;Caleta de Adeje - ADEJE;0;0;0;0;0;s
Tortuga Verde;5729 - actual;Puerto Colón;54;61;49,8;57;40;s
Tortuga Verde;2767 - actual;Puertito Armeñime;41,9;44;34;38;0;s
Tortuga Verde;1632 - actual;Puertito Armeñime - Adeje;32;29,5;27;34;4,7;s
Tortuga Verde;2758 - actual;Puerto Colón;57,4;61;49,8;54;28,8;s
Tortuga Verde;1041 - actual;Caleta de Adeje - ADEJE;54,5;60;48;56;0;s
Tortuga Verde;1027 - actual;Armeñime;66;0;53;0;51;s
Tortuga Verde;8474 - actual;PALM-MAR - ARONA;0;0;0;0;0;s
Tortuga Verde;8735 - actual;GARACHICO - GARACHICO;35,5;38;27,5;30;5,3;s
Tortuga Verde;9554 - actual;Guaza - ARONA;60;60;48;55;30,95;s
Tortuga Verde;10164 - actual;PUERTO COLÓN - ADEJE;57;61;46;54;25;s
Tortuga Verde;10192 - actual;LAS ERAS - FASNIA;69;73;65;68;0;s
Tortuga Verde;10381 - actual;PALM-MAR - ARONA;76;79,1;75;78;56,7;s
Tortuga Verde;10584 - actual;LOS CRISTIANOS - LOS CRISTIANOS;60,8;64;49;57,6;30,8;s
Tortuga Verde;10919 - actual;PUERTO COLÓN - ADEJE;0;0;0;0;0;o
Tortuga Verde;11657 - actual;PUERTO COLÓN - ADEJE;30;31;25;28;0;o
Tortuga Verde;11856 - actual;BUENAVISTA DEL NORTE - BUENAVISTA DEL NORTE;35;37;30;35;3,7;o
Tortuga Verde;12107 - actual;LOS CRISTIANOS - ARONA;38,5;40;33;38;8,15;o
Tortuga Verde;12606 - actual;ADEJE - ADEJE;0;0;0;0;0;o
Tortuga Verde;14505 - actual;PUERTO COLÓN - ADEJE;0;0;0;0;0;o
Tortuga Boba;6032 - actual;Medano;53;57;45;55;24,5;o
Tortuga Boba;6092 - actual;Puerto Colón;52;56;44,5;56;29,5;o
Tortuga Boba;6122 - actual;Playa de Fañabé. 2 millas;21;23;18,5;22;1,39;o
Tortuga Boba;6137 - actual;Los Cristianos;32;34;28;32;4,9;o
Tortuga Boba;6194 - actual;Playa de Fañabé;21;22;18;21;1,3;o
Tortuga Boba;6012 - actual;Acantilados de los Gigantes;27;29;23;27;2,6;o
Tortuga Boba;5944 - actual;Los Cristianos;44;48;38,5;46;14,5;o
Tortuga Boba;5959 - actual;El Socorro;31;34;27;32;4,22;o
