id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
8;9405 - 1998-2010;Caretta caretta;Tortuga Boba;18/09/2010;18/09/2010;2010;Septiembre;Otoño;Tajao;NA;497;Tajao;Urbanización Tajao, 38588, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;Descompuesta, sinmarcas aparentes;NA;NA;NA
10;9387 - 1998-2010;Caretta caretta;Tortuga Boba;08/09/2010;08/09/2010;2010;Septiembre;Otoño;Puertito;NA;409;Puertito;El Puertito, 38479, Los Silos, Santa Cruz de Tenerife, Islas Canarias;Silos, Los;38042;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
11;9361 - 1998-2010;Caretta caretta;Tortuga Boba;27/08/2010;27/08/2010;2010;Agosto;Verano;Teno;NA;504;Teno;Teno, Buenavista del Norte, Santa Cruz de Tenerife, Islas Canarias;Buenavista del Norte;38010;Indeterminado;Indeterminado;No;NA;NA;NA;NA
18;9287 - 1998-2010;Caretta caretta;Tortuga Boba;27/07/2010;27/07/2010;2010;Julio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;APN;NA;NA;NA
31;8720 - 1998-2010;Caretta caretta;Tortuga Boba;19/12/2009;19/12/2009;2009;Diciembre;Invierno;Punta de Teno;NA;456;Punta De Teno;Calle Punta de Teno, 38111, Alisios, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Podrida.;NA;NA;Putrefacta
32;8706 - 1998-2010;Caretta caretta;Tortuga Boba;11/12/2009;11/12/2009;2009;Diciembre;Invierno;Muelle (Pto.de la Cruz);NA;262;Muelle (pto.de La Cruz);Carretera del Puerto de la Cruz, 38314, La Orotava, Santa Cruz de Tenerife, Islas Canarias;Orotava, La;38026;Indeterminado;Indeterminado;No;Descompuesta.;NA;NA;NA
33;8693 - 1998-2010;Caretta caretta;Tortuga Boba;25/11/2009;25/11/2009;2009;Noviembre;Otoño;El Cabezo (El Médano);NA;93;El Cabezo (el Medano);El Cabezo, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;Descompuesta.;NA;NA;NA
57;8484 - 1998-2010;Caretta caretta;Tortuga Boba;15/08/2009;15/08/2009;2009;Agosto;Verano;Los Gigantes;NA;227;Los Gigantes;Los Gigantes;Santiago del Teide;38040;Indeterminado;Indeterminado;No;Avistada flotando a la deriva, musgo en caparazón.;NA;Caparazón;NA
71;8244 - 1998-2010;Caretta caretta;Tortuga Boba;09/06/2009;09/06/2009;2009;Junio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;Aleta Delantera derecha inflamada, enredad a los restos de un globo de radio sonda (meteorología) .;Enredadas;Aleta;Infección
75;8160 - 1998-2010;Caretta caretta;Tortuga Boba;15/05/2009;15/05/2009;2009;Mayo;Primavera;El Médano;NA;100;El Medano;El Médano, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;Descompuesta y con golpe en la cabeza;NA;Cabeza;NA
88;7760 - 1998-2010;Caretta caretta;Tortuga Boba;29/08/2008;29/08/2008;2008;Agosto;Verano;Las Americas;NA;192;Las Americas;Urbanización Las Américas, 38650, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;descompuesta;NA;NA;NA
92;7742 - 1998-2010;Caretta caretta;Tortuga Boba;19/08/2008;19/08/2008;2008;Agosto;Verano;Benijo;NA;38;Benijo;Benijo, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Muy grande, 60 a 70 kg.;NA;NA;NA
97;7665 - 1998-2010;Caretta caretta;Tortuga Boba;24/07/2008;24/07/2008;2008;Julio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;Descompuesta, no enmallada;Enredadas;NA;NA
235;5845 - 1998-2010;Caretta caretta;Tortuga Boba;08/06/2006;08/06/2006;2006;Junio;Verano;Los Patos;NA;232;Los Patos;Los Patos;Orotava, La;38026;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
250;5613 - 1998-2010;Caretta caretta;Tortuga Boba;08/02/2006;08/02/2006;2006;Febrero;Invierno;Pelada, El Médano;NA;295;Pelada, El Medano;El Médano, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;Totalmente descompuesta;NA;NA;NA
278;5227 - 1998-2010;Caretta caretta;Tortuga Boba;19/07/2005;19/07/2005;2005;Julio;Verano;El Medano;NA;99;El Medano;El Médano, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;Se la llevó el mar, solo quedaron restos de piel, entregados en el CRFS;NA;NA;NA
294;5006 - 1998-2010;Caretta caretta;Tortuga Boba;31/05/2005;31/05/2005;2005;Mayo;Primavera;El Tablado;NA;123;El Tablado;El Tablado, Garafía, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Muy descompuesta;NA;NA;NA
310;4710 - 1998-2010;Caretta caretta;Tortuga Boba;13/10/2004;13/10/2004;2004;Octubre;Otoño;Muelle Rivera;NA;285;Muelle Rivera;Calle Rivera, 38800, San Sebastián de la Gomera, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Le faltan las 4 aletas, descompuesta;NA;Aleta;NA
311;4700 - 1998-2010;Caretta caretta;Tortuga Boba;10/10/2004;10/10/2004;2004;Octubre;Otoño;El Médano;NA;100;El Medano;El Médano, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;ToTalmente descompuesta, la llevan al PIRS;NA;NA;NA
313;4683 - 1998-2010;Caretta caretta;Tortuga Boba;03/10/2004;03/10/2004;2004;Octubre;Otoño;Punta de Teno;NA;456;Punta De Teno;Calle Punta de Teno, 38111, Alisios, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;APN;NA;NA;NA
314;4629 - 1998-2010;Caretta caretta;Tortuga Boba;14/09/2004;14/09/2004;2004;Septiembre;Otoño;Punta Larga;NA;460;Punta Larga;I. E. S. Punta Larga;NA;NA;Indeterminado;Indeterminado;No;NA;NA;NA;NA
321;4550 - 1998-2010;Caretta caretta;Tortuga Boba;10/08/2004;10/08/2004;2004;Agosto;Verano;Valleseco;NA;515;Valleseco;Valleseco, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Dicen que flotaba;NA;NA;NA
324;4515 - 1998-2010;Caretta caretta;Tortuga Boba;30/07/2004;30/07/2004;2004;Julio;Verano;Pto, Colón;NA;401;Pto, Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;APN;NA;NA;NA
