Fecha;Especie;Nombre vulgar;Nº Ficha;Paraje;Causa;Muerte;Mun. recogida;Observaciones;Causa2;id_addr;address2
18/04/1990;Caretta caretta;Tortuga Boba;1892 - 1977-1990;Rambla de castro;NA;Si;LOS REALEJOS;NA;NA;474;Rambla De Castro
14/11/1989;Caretta caretta;Tortuga Boba;1868 - 1977-1990;NA;Cautividad;No;ICOD DE LOS VINOS;3 años en cautividad en agua dulce.;Otros;NA;NA
02/12/2010;Caretta caretta;Tortuga Boba;9537 - 1998-2010;CANDELARIA - CANDELARIA;Enfermedad;No;CANDELARIA;Le falta la aleta delantera dcha, caparazón y cabeza con multiplés heridas necrótricas, 20 kg;Enfermedad;54;Candelaria - Candelaria
15/11/2010;Caretta caretta;Tortuga Boba;9521 - 1998-2010;Puerto Colón;Artes de pesca;Si;NA;Corte en el cuello por enmallamiento, flaca, débil, moribunda;Artes de pesca;428;Puerto Colon
29/09/2010;Caretta caretta;Tortuga Boba;9436 - 1998-2010;EL PORIS - ARICO;Artes de pesca;No;ARICO;aleta delantera dcha necrosada, jaime 15/10;Artes de pesca;109;El Poris - Arico
28/09/2010;Caretta caretta;Tortuga Boba;9433 - 1998-2010;las teresitas;Artes de pesca;No;NA;aleta delantera y trasera dchas con cortes por enmallamiento;Artes de pesca;209;Las Teresitas
28/09/2010;Caretta caretta;Tortuga Boba;9428 - 1998-2010;El Poris;Artes de pesca;No;NA;NA;Artes de pesca;107;El Poris
18/09/2010;Caretta caretta;Tortuga Boba;9405 - 1998-2010;Tajao;Indeterminado;No;NA;Descompuesta, sinmarcas aparentes;Indeterminado;497;Tajao
10/09/2010;Caretta caretta;Tortuga Boba;9390 - 1998-2010;El Pris;Artes de pesca;Si;NA;Anzuelo de palangre en el esófago, hemorragia abundante. Se opera para extraerle el anzuelo y nuere en una hora;Artes de pesca;114;El Pris
08/09/2010;Caretta caretta;Tortuga Boba;9387 - 1998-2010;Puertito;Indeterminado;No;NA;Descompuesta;Indeterminado;409;Puertito
27/08/2010;Caretta caretta;Tortuga Boba;9361 - 1998-2010;Teno;Indeterminado;No;NA;NA;Indeterminado;504;Teno
27/08/2010;Caretta caretta;Tortuga Boba;9360 - 1998-2010;Puerto Colón;Otros;No;NA;Con percebes, aparentemente bien, recogida en alta mar;Otros;428;Puerto Colon
23/08/2010;Caretta caretta;Tortuga Boba;9357 - 1998-2010;bco Seco;Enfermedad;Si;NA;Muy Flaca, debil llena de musgo;Enfermedad;36;Bco Seco
21/08/2010;Caretta caretta;Tortuga Boba;9350 - 1998-2010;MUELLE - SANTA CRUZ DE TENERIFE;Artes de pesca;No;SANTA CRUZ DE TENERIFE;Problema en ojo izdo, nariz y aleta delantera izda. Recogida por un pescador;Artes de pesca;260;Muelle - Santa Cruz De Tenerife
07/08/2010;Caretta caretta;Tortuga Boba;9318 - 1998-2010;PLAYA FAÑABE - ADEJE;Debilidad agotamiento;No;ADEJE;Flotando a la deriva, musgo en el caparazón. Recogida a 2 millas;Debilidad agotamiento;343;Playa Fañabe - Adeje
07/08/2010;Caretta caretta;Tortuga Boba;9317 - 1998-2010;Los Abrigos;Artes de pesca;No;NA;aleta delantera dcha necrosada, se amputa. Musgo en el caparazón;Artes de pesca;215;Los Abrigos
28/07/2010;Caretta caretta;Tortuga Boba;9292 - 1998-2010;Muelle Garachico;Artes de pesca;No;NA;Aleta delantera derecha necrosada, soga atada a la aleta, se amputa el 3/08;Artes de pesca;274;Muelle Garachico
27/07/2010;Caretta caretta;Tortuga Boba;9287 - 1998-2010;Los Cristianos;Indeterminado;No;NA;APN;Indeterminado;220;Los Cristianos
25/07/2010;Caretta caretta;Tortuga Boba;9268 - 1998-2010;Pto. Colón;Hidrocarburos;No;NA;Totalemnte llena de Crudo;Hidrocarburos;402;Pto. Colon
22/07/2010;Caretta caretta;Tortuga Boba;9257 - 1998-2010;Abama;Artes de pesca;No;NA;con heridas en cuello y aletas por enmallamiento;Artes de pesca;7;Abama
10/07/2010;Caretta caretta;Tortuga Boba;9200 - 1998-2010;Puerto Colón;Otros;No;NA;Pequeña herida en el ojo derecho, activa;Otros;428;Puerto Colon
23/06/2010;Caretta caretta;Tortuga Boba;9105 - 1998-2010;Puerto Santiago;Artes de pesca;No;NA;Aleta delantera izquierda, necrosada; enmallada, flotando a la deriva.;Artes de pesca;450;Puerto Santiago
23/06/2010;Caretta caretta;Tortuga Boba;9100 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Aleta trasera derecha, putrefácta.;Artes de pesca;428;Puerto Colon
09/06/2010;Caretta caretta;Tortuga Boba;9032 - 1998-2010;LOS ROQUES - FASNIA;Artes de pesca;No;FASNIA;Anzuelo de pesca de altura, arrastraba gran cantidad de plasticos de invernadero;Artes de pesca;235;Los Roques - Fasnia
03/06/2010;Caretta caretta;Tortuga Boba;8992 - 1998-2010;Pelada;Debilidad agotamiento;Si;NA;Flaca y debilucha, 7,8 kg;Debilidad agotamiento;294;Pelada
09/04/2010;Caretta caretta;Tortuga Boba;8862 - 1998-2010;Pto de Güímar;Debilidad agotamiento;Si;GÜÍMAR;Muy Flaca y Débil;Debilidad agotamiento;399;Pto De Guimar
03/04/2010;Caretta caretta;Tortuga Boba;8850 - 1998-2010;El Poris;Artes de pesca;No;NA;ENMALLADA JUNTO A LA 8851;Artes de pesca;107;El Poris
18/03/2010;Caretta caretta;Tortuga Boba;8821 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;con la parte trasera del caparazón roto, le falta un trozo, con musgo y percebes.;Artes de pesca;428;Puerto Colon
30/01/2010;Caretta caretta;Tortuga Boba;8754 - 1998-2010;Puerto de la Cruz (muelle);Artes de pesca;No;NA;con cortes en las aletas, enmalladas en la misma red, (8754 y 8755);Artes de pesca;440;Puerto De La Cruz (muelle)
12/01/2010;Caretta caretta;Tortuga Boba;8739 - 1998-2010;Los Cristianos;Artes de pesca;Si;NA;Con nylon en las aletas, corte en la aleta delantera derecha y problemas en los ojos, muy bébil.;Artes de pesca;220;Los Cristianos
19/12/2009;Caretta caretta;Tortuga Boba;8720 - 1998-2010;Punta de Teno;Indeterminado;No;NA;Podrida.;Indeterminado;456;Punta De Teno
11/12/2009;Caretta caretta;Tortuga Boba;8706 - 1998-2010;Muelle (Pto.de la Cruz);Indeterminado;No;NA;Descompuesta.;Indeterminado;262;Muelle (pto.de La Cruz)
25/11/2009;Caretta caretta;Tortuga Boba;8693 - 1998-2010;El Cabezo (El Médano);Indeterminado;No;NA;Descompuesta.;Indeterminado;93;El Cabezo (el Medano)
23/10/2009;Caretta caretta;Tortuga Boba;8658 - 1998-2010;Puertos de Santa Cruz Tenerife;Otros;No;NA;NA;Otros;452;Puertos De Santa Cruz Tenerife
19/10/2009;Caretta caretta;Tortuga Boba;8646 - 1998-2010;Playa La Viuda - Güímar;Artes de pesca;No;GÜÍMAR;Aleta delantera dcha. Necrosada;Artes de pesca;357;Playa La Viuda - Guimar
19/10/2009;Caretta caretta;Tortuga Boba;8643 - 1998-2010;Muelle;Artes de pesca;No;NA;Pequeño corte en el cuello (nada) bien;Artes de pesca;259;Muelle
11/10/2009;Caretta caretta;Tortuga Boba;8640 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Herida en la Aleta delantera Izquierda.;Artes de pesca;428;Puerto Colon
11/10/2009;Caretta caretta;Tortuga Boba;8639 - 1998-2010;Puerto Colón;Artes de pesca;No;NA;Nylon, en boca y ano.;Artes de pesca;428;Puerto Colon
05/10/2009;Caretta caretta;Tortuga Boba;8635 - 1998-2010;Puertito de Güimar;Artes de pesca;Si;NA;Enmallamiento, recogida por Jaime Urióste, entregada al mismo 10/10/09.Muere con excrementos mucosos y verdes abundantes;Artes de pesca;415;Puertito De Guimar
23/09/2009;Caretta caretta;Tortuga Boba;8614 - 1998-2010;Los Cristianos;Artes de pesca;No;NA;Aleta delantera izquierda, con cortes.entregada a Jaime Urióste 10 Octubre 09.;Artes de pesca;220;Los Cristianos
