id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
1;1892 - 1977-1990;Caretta caretta;Tortuga Boba;18/04/1990;18/04/1990;1990;Abril;Primavera;Rambla de castro;LOS REALEJOS;474;Rambla De Castro;Calle Castro, 38611, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Realejos, Los;38031;NA;NA;Si;NA;NA;NA;NA
2;1868 - 1977-1990;Caretta caretta;Tortuga Boba;14/11/1989;14/11/1989;1989;Noviembre;Otoño;NA;ICOD DE LOS VINOS;NA;NA;NA;Icod de los Vinos;38022;Cautividad;Otros;No;3 años en cautividad en agua dulce.;NA;NA;NA
3;9537 - 1998-2010;Caretta caretta;Tortuga Boba;02/12/2010;02/12/2010;2010;Diciembre;Invierno;CANDELARIA - CANDELARIA;CANDELARIA;54;Candelaria - Candelaria;Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Enfermedad;Enfermedad;No;Le falta la aleta delantera dcha, caparazón y cabeza con multiplés heridas necrótricas, 20 kg;Herida;Varias partes;NA
4;9521 - 1998-2010;Caretta caretta;Tortuga Boba;15/11/2010;15/11/2010;2010;Noviembre;Otoño;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;Si;Corte en el cuello por enmallamiento, flaca, débil, moribunda;Varias lesiones;Cuello;NA
5;9436 - 1998-2010;Caretta caretta;Tortuga Boba;29/09/2010;29/09/2010;2010;Septiembre;Otoño;EL PORIS - ARICO;ARICO;109;El Poris - Arico;Carretera al Porís, 38588, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;aleta delantera dcha necrosada, jaime 15/10;NA;Aleta;Necrosada
6;9433 - 1998-2010;Caretta caretta;Tortuga Boba;28/09/2010;28/09/2010;2010;Septiembre;Otoño;las teresitas;NA;209;Las Teresitas;Playa de las Teresitas;Santa Cruz de Tenerife;38038;Artes de pesca;Artes de pesca;No;aleta delantera y trasera dchas con cortes por enmallamiento;Varias lesiones;Aleta;NA
7;9428 - 1998-2010;Caretta caretta;Tortuga Boba;28/09/2010;28/09/2010;2010;Septiembre;Otoño;El Poris;NA;107;El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;NA;NA;NA;NA
8;9405 - 1998-2010;Caretta caretta;Tortuga Boba;18/09/2010;18/09/2010;2010;Septiembre;Otoño;Tajao;NA;497;Tajao;Urbanización Tajao, 38588, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;Descompuesta, sinmarcas aparentes;NA;NA;NA
9;9390 - 1998-2010;Caretta caretta;Tortuga Boba;10/09/2010;10/09/2010;2010;Septiembre;Otoño;El Pris;NA;114;El Pris;El Pris, Tacoronte, Santa Cruz de Tenerife, Islas Canarias;Tacoronte;38043;Artes de pesca;Artes de pesca;Si;Anzuelo de palangre en el esófago, hemorragia abundante. Se opera para extraerle el anzuelo y nuere en una hora;NA;NA;NA
10;9387 - 1998-2010;Caretta caretta;Tortuga Boba;08/09/2010;08/09/2010;2010;Septiembre;Otoño;Puertito;NA;409;Puertito;El Puertito, 38479, Los Silos, Santa Cruz de Tenerife, Islas Canarias;Silos, Los;38042;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
